Modem_Id,User_IF,Modem_IF,Storage_IF,Diag_IF
16d8:6002,-,0,-,1
16d8:6006,1,0,"",2
16d8:6007,-,1,-,2
16d8:6008,3,1,-,2
16d8:6280,-,1,-,2
16d8:6281,2,0,4,1
16d8:6522,"",0,"",2
16d8:6523,"",0,-,2
16d8:6532,"",0,-,2
16d8:6533,1,0,"",2
16d8:6543,1,0,"",2
16d8:6803,-,0,"3 & 4",1
16d8:6803,-,0,3&4,1
16d8:6804,"",1,"",2
16d8:7001,-,1,-,2
16d8:7003,0,3,2,1
16d8:7006,0,4,3,1
16d8:700a,1,3,2,0
16d8:7211,3,1,4,2
1726:1000,"",0,"",1
1726:a000,"",3,4,""
198a:0002,3,0,1,2
19d2:0001,2,0,-,1
19d2:0002,4,2,-,3
19d2:0003,2,0,4,1
19d2:0015,3,1,0,2
19d2:0016,1,2,-,0
19d2:0017,1,2,4,0
19d2:0019,2,3,5,0
19d2:0022,1,0,"",""
19d2:0031,1,3,2,0
19d2:0033,1,4,-,0
19d2:0034,1,4,"",0
19d2:0037,1,3,2,""
19d2:0037,1,3,2,0
19d2:0039,1,3,2,0
19d2:0042,1,3,2,0
19d2:0052,1,3,2,0
19d2:0052,1,3,2&5,0
19d2:0055,4,2,5,3
19d2:0057,0,3,2,1
19d2:0063,1,3,5,0
19d2:0064,0,2,"",""
19d2:0066,1,3,4,0
19d2:0079,"",2,4,""
19d2:0082,1,3,2,0
19d2:0086,1,3,2,0
19d2:0094,3,0,4&5,""
19d2:0104,1,3,"",0
19d2:0108,1,3,4,0
19d2:0117,1,2,-,0
19d2:0117,1,2,3,0
19d2:0117,1,2,4,0
19d2:0121,1,4,"",0
19d2:0124,1,4,6,0
19d2:0151,1,2,3,0
19d2:0152,2,0,5&6,1
19d2:0157,1,4,6,0
19d2:0167,1,3,5,""
19d2:0170,0,1,3,2
19d2:0257,1,2,4,""
19d2:0265,2,3,5,0
19d2:0284,1,3,5,""
19d2:0317,2,1,-,0
19d2:0326,1,3,5,""
19d2:0330,1,2,-,0
19d2:1003,1,3,"",""
19d2:1008,1,3,"",0
19d2:1010,1,3,"",0
19d2:1015,1,3,"",""
19d2:1018,1,2,4,0
19d2:1173,1,3,"",0
19d2:1176,1,3,"",0
19d2:1203,"",0,7,""
19d2:1252,1,3,5,0
19d2:1253,1,3,4,0
19d2:1254,1,3,5,0
19d2:1268,1,3,5,0
19d2:1300,2,0,-,1
19d2:1402,1,1,3,0
19d2:1589,3,2,6,5
19d2:2002,1,3,"",0
19d2:2003,1,3,-,0
19d2:2003,1,3,4,0
19d2:ffdd,1,0,"",3
19d2:ffe4,1,0,"",2
19d2:ffe8,1,0,-,3
19d2:ffe9,1,0,"",3
19d2:ffeb,0,3,-,2
19d2:ffed,1,0,-,3
19d2:fff1,1,0,5,3
19d2:fffe,1,0,4,3
19d2:ffff,1,0,-,3
1a8d:1002,2,1,0,""
1a8d:1003,1,0,"",""
1a8d:1007,2,0,"",1
1a8d:1008,2,0,"",1
1a8d:1009,2,0,"",1
1a8d:100c,2,0,5,1
1a8d:100d,2,0,5,1
1a8d:2006,"",1,7,""
1a8d:,2,0,"",1
1a8d:,2,1,0,""
1ab7:2000,"",0,"",""
1ab7:5730,3,1,"",0
1ab7:5731,3,1,"",0
1bbb:0000,1,3,2,0
1bbb:0012,2,0,4,1
1bbb:0017,3,5,4,0
1bbb:0052,3,5,4,0
1bbb:00b7,3,4,"",0
1bbb:00ca,2,0,4,1
1bbb:011e,1,3,2,0
1bbb:0203,0,1,3,-
1bbb:022c,1,0,"",2
1c9e:3197,-,0,-,1
1c9e:6000,2,0,"",1
1c9e:6061,2,0,3,1
1c9e:9000,1,3,2,0
1c9e:9104,1,3,2,0
1c9e:9404,1,3,2,0
1c9e:9603,1,2,3,0
1c9e:9605,1,3,4,0
1c9e:9607,1,3,4,0
1c9e:9800,2,1,3,0
1c9e:9801,2,1,4,0
1c9e:9803,2,1,4,0
1c9e:9900,1,2,3,0
1c9e:9a00,2,0,"",1
1c9e:9d00,"",3,"",""
1c9e:9e00,2,0,5,1
1d09:1010,2,0,"",1
1d09:1026,2,0,"",1
1d09:4306,2,0,"",1
1e0e:9000,1,3,2,0
1e0e:9100,1,3,2,0
1e0e:9200,1,3,2,0
1e0e:9a00,1,2,-,0
1e0e:ce16,1,2,3,0
1e0e:ce16,2,0,1,""
1e0e:ce17,1,2,3,0
1e0e:ce1e,1,2,3,0
1e0e:ce28,1,2,3,0
1e0e:cefe,1,2,3,0
1fe7:0100,"",0,"",""
2001:7901,1,3,"",""
2001:7d00,0,0,2,1
2001:7d01,3,2,6,""
2001:7d02,3,2,6,""
2001:7d03,3,2,6,""
2001:7d0b,3,2,6,""
2001:7d0c,3,2,6,""
2001:7d0d,3,2,6,""
2001:7e19,2,1,5,0
201e:1022,1,0,3,""
201e:10f8,2,3,4,0
201e:2009,2,0,3,1
2020:1005,1,3,4,0
2020:1008,1,3,4,0
2020:2000,1,0,2,-
2020:4000,3,2,6,5
2020:4010,3,2,6,5
2077:7001,1,0,3,2
2077:7010,2,0,"",""
2077:7011,2,0,"",""
2077:8000,1,0,3,2
2077:9000,1,2,"",""
2077:9062,1,3,"",""
2077:a000,1,2,"",""
2077:a003,1,2,"",""
20a6:1105,2,0,3,1
20a6:1106,2,0,"",1
230d:0001,"",0,"",""
230d:0003,"",0,"",""
230d:0007,"",0,"",""
230d:000b,"",0,"",""
230d:000d,"",0,"",""
2357:0201,1,3,2,0
2357:0202,1,2,4,0
2357:0203,1,2,3,0
2357:9000,1,3,2,0
